Usando ParallelSort()

cantidad de nuemros:		tiempo
10				1763800
100				1835000
1000				2023300
10000				7320400
100000				53887200
1000000				407753000
10000000			453975500
100000000			1324204200


sort()


cantidad de nuemros:		tiempo
10				281400
100				356400
1000				554200
10000				3940600
100000				40404400
1000000				173031900
10000000			693872400 
100000000			6998505200 

THREAD()

hilos 2:
10				0.001
100				0.002
1000				0.01
10000				0.117
100000				11.61

hilos 4
10				0.001
100				0.001
1000				0.015
10000				0.074
100000				5.718

hilos 8
10				0.001
100				0.001
1000				0.039
10000				0.058		
100000				3.308

hilos 16
10				0.001			
100				0.002
1000				0.051
10000				0.068
100000				2.693


hilos 32

10				0.002		
100				0.003			
1000				0.034	
10000				0.062			
100000				2.326			

















